City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Namatanai,PG,80.73,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
3,Chengdu,CN,75.09,scattered clouds,30.6667,104.0667,Crowne Plaza Chengdu City Center
8,Coahuayana,MX,77.81,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
10,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
14,Cabo Rojo,PR,79.95,clear sky,18.0866,-67.1457,Hotel Perichi's
19,Kieta,PG,80.08,light rain,-6.2167,155.6333,Uruna Bay Retreat
21,Alice Springs,AU,87.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
27,Esperance,AU,75.04,broken clouds,-33.8667,121.9,Hospitality Esperance
28,Itoman,JP,87.82,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
30,Tanout,NE,89.1,scattered clouds,14.9709,8.8879,
33,Puerto Escondido,MX,78.08,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
38,Sikasso,ML,76.1,overcast clouds,10.9167,-7.0,
41,Kuching,MY,89.82,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
45,Pedernales,DO,80.51,overcast clouds,18.0384,-71.744,Hotel Costa Marina
52,Nabire,ID,81.61,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
53,Kapaa,US,78.78,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Papanasam,IN,90.21,light rain,10.9333,79.2833,Srinivasa Rooms
58,San Patricio,US,76.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
59,Kendari,ID,82.58,broken clouds,-3.945,122.4989,Hotel Wixel
67,Biak,ID,82.49,light rain,-0.9131,122.8766,Penginapan Kim
70,Bonoua,CI,76.62,moderate rain,5.2741,-3.595,Hotel Bon Samaritian
76,Bambanglipuro,ID,82.06,broken clouds,-7.95,110.2833,Puri Brata
77,Banjar,ID,84.06,overcast clouds,-8.19,114.9675,The Hamsa Resort
78,Atuona,PF,77.7,broken clouds,-9.8,-139.0333,Villa Enata
85,Dingle,PH,84.83,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
86,Sao Filipe,CV,77.94,broken clouds,14.8961,-24.4956,Hotel Xaguate
92,Port Blair,IN,80.6,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
93,Scalea,IT,78.46,overcast clouds,39.813,15.7956,Grand Hotel de Rose
94,Balabac,PH,84.96,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
98,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
103,Maningrida,AU,82.81,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
107,Pocao De Pedras,BR,75.4,broken clouds,-4.6667,-44.85,Hotel Magazine
109,Thayetmyo,MM,88.09,overcast clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
112,Erzin,TR,81.12,clear sky,36.9559,36.2,Artemis Otel
117,Vanimo,PG,82.53,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
119,Qiongshan,CN,85.98,scattered clouds,20.0058,110.3542,Sun City Restaurant
121,Tuy Hoa,VN,83.48,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
125,Saint-Philippe,RE,79.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
137,Carutapera,BR,76.53,overcast clouds,-1.195,-46.02,Lidera
140,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
141,Hambantota,LK,84.54,scattered clouds,6.1241,81.1185,Bungalow 63
142,Payo,ID,83.12,overcast clouds,-3.7508,103.6372,Mess keban agung
143,Tecoanapa,MX,76.98,overcast clouds,16.5167,-98.75,Hotel Manglares
145,Luganville,VU,76.69,broken clouds,-15.5333,167.1667,The Espiritu Hotel
153,Kahului,US,79.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
155,Faya,SA,79.32,clear sky,18.3851,42.4509,املاك خالد الشعشوع
159,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
162,Ghanzi,BW,86.23,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
165,Victoria,HK,94.21,scattered clouds,22.2855,114.1577,Mini Hotel Central
167,Hilo,US,76.73,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
168,Port Moresby,PG,81.82,moderate rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
171,Labuhan,ID,82.92,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
172,Port-Gentil,GA,80.56,moderate rain,-0.7193,8.7815,Fengshui Residence
176,Port Hedland,AU,89.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
180,Hobyo,SO,85.39,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
183,Rajbiraj,NP,94.5,scattered clouds,26.5333,86.75,Kolahatta
186,Saint George,US,77.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
187,Porto Novo,BJ,75.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
190,Seydi,TM,92.64,clear sky,39.4816,62.9137,Seydi oteli
194,Moree,AU,75.22,clear sky,-29.4667,149.85,Molika Springs Motel
196,Tessalit,ML,90.93,clear sky,20.1986,1.0114,
197,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
199,Camapua,BR,77.18,clear sky,-19.5314,-54.0439,Comercial Estrela
200,Ambilobe,MG,93.38,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
203,Emerald,AU,90.99,broken clouds,-23.5333,148.1667,The Irish Village
207,Hithadhoo,MV,82.49,overcast clouds,-0.6,73.0833,Scoop Guest House
212,Bengkulu,ID,76.17,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
218,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
219,Butaritari,KI,83.17,light rain,3.0707,172.7902,Isles Sunset Lodge
221,Mahina,PF,78.57,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
222,Samarai,PG,79.27,broken clouds,-10.6167,150.6667,Nuli Sapi
223,Gat,IL,86.77,clear sky,31.61,34.7642,OlusHome
