City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Corner Brook,CA,48.9667,-57.9484,60.93,93,89,4.7,overcast clouds
1,Namatanai,PG,-3.6667,152.4333,80.73,81,95,6.35,moderate rain
2,Kununurra,AU,-15.7667,128.7333,98.58,20,96,6.91,overcast clouds
3,Chengdu,CN,30.6667,104.0667,75.09,73,40,11.18,scattered clouds
4,New Norfolk,AU,-42.7826,147.0587,55.76,56,14,1.99,few clouds
5,Busselton,AU,-33.65,115.3333,61.05,79,46,11.39,scattered clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,68.65,90,94,7.72,overcast clouds
7,Vaini,TO,-21.2,-175.2,69.96,88,75,4.61,broken clouds
8,Coahuayana,MX,18.7333,-103.6833,77.81,89,100,2.42,overcast clouds
9,Leningradskiy,RU,69.3833,178.4167,27.37,92,100,7.34,light snow
10,Bathsheba,BB,13.2167,-59.5167,77.61,88,40,4.61,scattered clouds
11,Nemuro,JP,43.3236,145.575,63.03,75,100,10.0,overcast clouds
12,Torbay,CA,47.6666,-52.7314,47.57,89,75,11.5,broken clouds
13,Cape Town,ZA,-33.9258,18.4232,65.12,85,75,1.99,broken clouds
14,Cabo Rojo,PR,18.0866,-67.1457,79.95,91,3,1.01,clear sky
15,Pevek,RU,69.7008,170.3133,30.0,92,100,13.51,light snow
16,Chokurdakh,RU,70.6333,147.9167,32.68,98,100,16.58,light snow
17,Krasnoselkup,RU,65.7,82.4667,43.47,55,10,11.48,clear sky
18,Barrow,US,71.2906,-156.7887,26.62,86,90,5.75,light snow
19,Kieta,PG,-6.2167,155.6333,80.08,84,100,4.76,light rain
20,Ushuaia,AR,-54.8,-68.3,35.26,75,20,6.91,few clouds
21,Alice Springs,AU,-23.7,133.8833,87.35,8,0,9.22,clear sky
22,Hermanus,ZA,-34.4187,19.2345,64.9,82,100,5.82,overcast clouds
23,Kachug,RU,53.9606,105.8817,46.2,35,81,9.86,broken clouds
24,Ahipara,NZ,-35.1667,173.1667,55.38,85,100,10.09,light rain
25,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,90,100,6.2,overcast clouds
26,Pincher Creek,CA,49.4833,-113.952,62.71,41,1,13.8,clear sky
27,Esperance,AU,-33.8667,121.9,75.04,73,63,6.53,broken clouds
28,Itoman,JP,26.1247,127.6694,87.82,70,40,13.8,scattered clouds
29,Hofn,IS,64.2539,-15.2082,40.53,89,100,14.32,overcast clouds
30,Tanout,NE,14.9709,8.8879,89.1,13,30,9.17,scattered clouds
31,Moba,CN,33.2288,105.0179,54.81,89,100,5.46,overcast clouds
32,Antigonish,CA,45.6169,-61.9986,66.15,95,100,4.0,overcast clouds
33,Puerto Escondido,MX,15.85,-97.0667,78.08,84,100,5.12,overcast clouds
34,Albany,US,42.6001,-73.9662,60.46,86,77,3.0,broken clouds
35,Cascais,PT,38.6979,-9.4215,63.05,79,20,1.01,few clouds
36,Rikitea,PF,-23.1203,-134.9692,73.78,73,4,15.93,clear sky
37,Aklavik,CA,68.2191,-135.0107,31.03,89,100,11.63,overcast clouds
38,Sikasso,ML,10.9167,-7.0,76.1,84,99,7.23,overcast clouds
39,Husavik,IS,66.0449,-17.3389,39.11,95,100,29.42,overcast clouds
40,Waipawa,NZ,-41.4122,175.5153,46.02,88,92,8.19,overcast clouds
41,Kuching,MY,1.55,110.3333,89.82,66,40,2.3,scattered clouds
42,Tigil,RU,57.8,158.6667,45.0,85,93,4.34,overcast clouds
43,Port Alfred,ZA,-33.5906,26.891,68.18,68,85,7.16,overcast clouds
44,Ust-Koksa,RU,50.2696,85.6108,46.87,37,98,19.48,overcast clouds
45,Pedernales,DO,18.0384,-71.744,80.51,76,87,2.01,overcast clouds
46,Coquimbo,CL,-29.9533,-71.3436,49.73,93,0,2.3,clear sky
47,Yellowknife,CA,62.456,-114.3525,38.28,99,20,5.75,few clouds
48,Shelburne,CA,44.0787,-80.2041,47.19,93,0,10.09,clear sky
49,Sorland,NO,67.667,12.6934,49.8,93,100,33.64,overcast clouds
50,Richards Bay,ZA,-28.783,32.0377,73.45,74,85,15.08,overcast clouds
51,Mataura,NZ,-46.1927,168.8643,42.48,92,95,1.59,overcast clouds
52,Nabire,ID,-3.3667,135.4833,81.61,80,56,1.99,broken clouds
53,Kapaa,US,22.0752,-159.319,78.78,84,90,3.0,moderate rain
54,Novikovo,RU,51.1537,37.8879,55.44,71,93,18.03,light rain
55,Qaanaaq,GL,77.484,-69.3632,16.12,72,25,7.85,scattered clouds
56,Papanasam,IN,10.9333,79.2833,90.21,51,100,6.96,light rain
57,Mount Gambier,AU,-37.8333,140.7667,57.11,62,10,11.5,clear sky
58,San Patricio,US,28.017,-97.5169,76.84,64,99,4.52,overcast clouds
59,Kendari,ID,-3.945,122.4989,82.58,74,75,5.79,broken clouds
60,Jamestown,US,42.097,-79.2353,52.18,94,90,1.99,overcast clouds
61,Vila Velha,BR,-20.3297,-40.2925,67.95,83,20,5.75,few clouds
62,Moosomin,CA,50.1333,-101.6677,56.26,56,93,7.25,light rain
63,Westport,US,41.1415,-73.3579,64.74,90,1,1.99,clear sky
64,Nome,US,64.5011,-165.4064,42.87,71,40,13.8,scattered clouds
65,Chuy,UY,-33.6971,-53.4616,59.22,84,92,2.82,overcast clouds
