City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chokurdakh,RU,2021-09-21 21:24:37,70.6333,147.9167,27.9,72,88,8.52
1,New Norfolk,AU,2021-09-21 21:24:37,-42.7826,147.0587,56.7,77,64,4.47
2,Atuona,PF,2021-09-21 21:24:37,-9.8,-139.0333,78.01,71,20,22.26
3,Avarua,CK,2021-09-21 21:24:38,-21.2078,-159.775,73.45,78,75,12.66
4,Leshukonskoye,RU,2021-09-21 21:24:38,64.8989,45.7622,32.63,93,20,2.28
5,Mataura,NZ,2021-09-21 21:24:39,-46.1927,168.8643,48.47,76,24,2.8
6,Rikitea,PF,2021-09-21 21:24:39,-23.1203,-134.9692,73.92,71,1,13.96
7,Cabo San Lucas,MX,2021-09-21 21:20:03,22.8909,-109.9124,94.6,73,75,8.05
8,Guarapuava,BR,2021-09-21 21:21:30,-25.3953,-51.4581,64.71,91,63,6.38
9,Port Macquarie,AU,2021-09-21 21:24:40,-31.4333,152.9167,53.56,66,42,15.37
10,Laguna,US,2021-09-21 21:24:40,38.421,-121.4238,99.64,23,1,1.99
11,Ratnagiri,IN,2021-09-21 21:24:41,16.9833,73.3,77.56,86,97,5.66
12,Pacific Grove,US,2021-09-21 21:24:41,36.6177,-121.9166,103.15,54,1,15.01
13,Hobart,AU,2021-09-21 21:20:18,-42.8794,147.3294,57.06,78,0,12.66
14,Butaritari,KI,2021-09-21 21:24:41,3.0707,172.7902,83.12,70,95,15.93
15,Caravelas,BR,2021-09-21 21:24:42,-17.7125,-39.2481,75.07,86,6,12.57
16,Port Elizabeth,ZA,2021-09-21 21:24:42,-33.918,25.5701,52.09,93,40,3.44
17,Yellowknife,CA,2021-09-21 21:23:10,62.456,-114.3525,52.32,71,90,16.11
18,Leningradskiy,RU,2021-09-21 21:24:43,69.3833,178.4167,25.0,86,99,12.91
19,Dikson,RU,2021-09-21 21:24:43,73.5069,80.5464,33.91,74,100,1.79
20,Raton,US,2021-09-21 21:24:43,36.9034,-104.4391,63.59,31,1,4.61
21,San Cristobal,VE,2021-09-21 21:20:42,7.7669,-72.225,82.58,91,100,5.37
22,Thompson,CA,2021-09-21 21:24:44,55.7435,-97.8558,48.36,61,40,3.44
23,Albany,US,2021-09-21 21:20:16,42.6001,-73.9662,72.27,68,94,7.09
24,Altay,CN,2021-09-21 21:24:44,47.8667,88.1167,36.28,47,0,3.29
25,High Rock,BS,2021-09-21 21:24:45,26.6208,-78.2833,82.42,65,100,0.72
26,Tiksi,RU,2021-09-21 21:24:45,71.6872,128.8694,33.69,71,100,3.02
27,Half Moon Bay,US,2021-09-21 21:24:45,37.4636,-122.4286,101.25,43,1,0.0
28,Busselton,AU,2021-09-21 21:24:46,-33.65,115.3333,55.24,74,0,4.29
29,Torbay,CA,2021-09-21 21:24:46,47.6666,-52.7314,59.68,71,75,18.41
30,Nikolskoye,RU,2021-09-21 21:24:46,59.7035,30.7861,44.49,81,100,6.2
31,Kapit,MY,2021-09-21 21:24:47,2.0167,112.9333,71.64,99,100,1.57
32,Itarema,BR,2021-09-21 21:24:47,-2.9248,-39.9167,78.49,78,17,17.18
33,Bluff,NZ,2021-09-21 21:24:47,-46.6,168.3333,48.79,65,62,20.65
34,Ushuaia,AR,2021-09-21 21:24:48,-54.8,-68.3,49.66,76,75,5.75
35,Kapaa,US,2021-09-21 21:24:48,22.0752,-159.319,82.72,70,1,4.0
36,Pangnirtung,CA,2021-09-21 21:24:49,66.1451,-65.7125,37.4,44,75,13.8
37,Baykit,RU,2021-09-21 21:24:49,61.67,96.37,36.39,97,100,4.18
38,Henties Bay,NA,2021-09-21 21:24:49,-22.116,14.2845,53.85,83,34,3.27
39,Deputatskiy,RU,2021-09-21 21:20:06,69.3,139.9,27.57,74,100,3.51
40,Prince George,CA,2021-09-21 21:22:57,53.9166,-122.753,57.25,72,90,1.01
41,Chisec,GT,2021-09-21 21:24:50,15.8167,-90.2833,88.57,55,60,3.67
42,Victoria,HK,2021-09-21 21:22:57,22.2855,114.1577,84.33,87,97,4.56
43,Peleduy,RU,2021-09-21 21:24:50,59.6289,112.7406,40.75,95,100,4.7
44,Upernavik,GL,2021-09-21 21:24:51,72.7868,-56.1549,20.95,52,15,5.99
45,Hermanus,ZA,2021-09-21 21:24:51,-34.4187,19.2345,54.9,82,10,11.43
46,Buraydah,SA,2021-09-21 21:24:52,26.326,43.975,84.65,20,3,7.81
47,Siderno,IT,2021-09-21 21:24:52,38.2779,16.302,76.84,63,66,2.95
48,Clyde River,CA,2021-09-21 21:24:52,70.4692,-68.5914,30.43,93,90,0.0
49,Xining,CN,2021-09-21 21:24:53,36.6167,101.7667,54.34,58,100,6.02
50,Kaitangata,NZ,2021-09-21 21:24:53,-46.2817,169.8464,47.37,69,15,6.62
51,Castrillon,ES,2021-09-21 21:24:53,43.3979,-6.7922,59.54,99,27,2.95
52,Zyryanka,RU,2021-09-21 21:24:54,65.75,150.85,31.8,58,100,6.11
53,Hilo,US,2021-09-21 21:23:30,19.7297,-155.09,83.28,88,90,5.75
54,Hami,CN,2021-09-21 21:24:54,42.8,93.45,68.58,27,92,5.39
55,Provideniya,RU,2021-09-21 21:24:55,64.3833,-173.3,32.11,64,20,11.18
56,Kavaratti,IN,2021-09-21 21:24:55,10.5669,72.642,81.7,78,31,16.67
57,Hamilton,US,2021-09-21 21:20:10,39.1834,-84.5333,75.61,87,90,1.01
58,Marawi,PH,2021-09-21 21:24:56,7.9986,124.2928,64.65,95,79,2.44
59,New Albany,US,2021-09-21 21:24:57,38.2856,-85.8241,79.12,80,90,1.01
60,Manta,EC,2021-09-21 21:24:57,-0.95,-80.7333,83.98,61,75,13.8
61,Saint-Philippe,RE,2021-09-21 21:24:58,-21.3585,55.7679,65.75,77,42,8.9
62,Bredasdorp,ZA,2021-09-21 21:24:58,-34.5322,20.0403,48.27,87,4,4.61
63,Sitka,US,2021-09-21 21:24:58,57.0531,-135.33,53.49,82,90,18.41
64,Norman Wells,CA,2021-09-21 21:24:59,65.282,-126.8329,48.24,61,75,12.66
65,Berlevag,NO,2021-09-21 21:24:59,70.8578,29.0864,42.75,56,0,27.63
66,Puksoozero,RU,2021-09-21 21:24:59,62.5903,40.6066,31.14,96,77,4.83
67,Mildura,AU,2021-09-21 21:25:00,-34.2,142.15,47.07,100,90,6.91
68,Sterling,US,2021-09-21 21:22:43,39.0062,-77.4286,79.16,77,90,8.05
69,Raudeberg,NO,2021-09-21 21:25:00,61.9875,5.1352,55.96,91,100,10.0
70,Barabai,ID,2021-09-21 21:25:01,-2.5833,115.3833,72.5,99,100,1.48
71,Jibuti,DJ,2021-09-21 21:25:01,11.5,42.5,83.62,65,21,10.22
72,Nanortalik,GL,2021-09-21 21:25:01,60.1432,-45.2371,35.8,84,95,11.45
73,Khash,IR,2021-09-21 21:25:02,28.2211,61.2158,73.62,16,0,2.51
74,Puerto Triunfo,CO,2021-09-21 21:25:02,5.8726,-74.6403,88.72,61,89,1.01
75,Arraial Do Cabo,BR,2021-09-21 21:25:03,-22.9661,-42.0278,73.36,88,75,25.32
76,Lebu,CL,2021-09-21 21:25:03,-37.6167,-73.65,55.15,67,0,5.57
77,Qaanaaq,GL,2021-09-21 21:25:03,77.484,-69.3632,13.41,72,13,7.09
78,Mount Isa,AU,2021-09-21 21:25:04,-20.7333,139.5,53.37,20,36,17.27
79,Pemangkat,ID,2021-09-21 21:25:04,1.1667,108.9667,77.49,88,99,5.21
80,Paka,MY,2021-09-21 21:25:05,4.6374,103.4368,76.93,100,85,2.3
81,Sao Joao Da Barra,BR,2021-09-21 21:25:05,-21.6403,-41.0511,75.29,76,18,19.39
82,Ishigaki,JP,2021-09-21 21:25:06,24.3448,124.1572,78.93,94,40,3.44
83,Honavar,IN,2021-09-21 21:25:07,14.2833,74.45,76.66,91,100,4.68
84,Cape Town,ZA,2021-09-21 21:21:36,-33.9258,18.4232,55.81,76,0,1.99
85,Dakar,SN,2021-09-21 21:24:57,14.6937,-17.4441,84.33,79,62,0.0
86,Wamba,NG,2021-09-21 21:25:08,8.9333,8.6,70.93,98,96,1.57
87,Khatanga,RU,2021-09-21 21:25:08,71.9667,102.5,31.32,91,55,11.5
88,Yarmouth,US,2021-09-21 21:25:08,41.7057,-70.2286,75.25,82,20,1.01
89,Bodden Town,KY,2021-09-21 21:21:33,19.2833,-81.25,88.99,71,17,5.99
90,Carnarvon,AU,2021-09-21 21:25:09,-24.8667,113.6333,53.67,94,0,6.91
91,Aksarka,RU,2021-09-21 21:25:09,66.5606,67.7975,37.15,89,100,8.19
92,Naro,IT,2021-09-21 21:25:10,37.2935,13.7936,70.56,73,94,4.34
93,Lorengau,PG,2021-09-21 21:25:10,-2.0226,147.2712,80.87,78,100,5.35
94,Barrow,US,2021-09-21 21:25:10,71.2906,-156.7887,33.82,64,90,14.97
95,Coahuayana,MX,2021-09-21 21:25:11,18.7333,-103.6833,92.68,61,79,7.09
96,Mar Del Plata,AR,2021-09-21 21:25:11,-38.0023,-57.5575,50.86,66,0,7.9
97,Charters Towers,AU,2021-09-21 21:20:23,-20.1,146.2667,52.56,25,17,19.46
98,Shakawe,BW,2021-09-21 21:25:12,-18.3667,21.85,74.26,21,8,5.44
99,Morondava,MG,2021-09-21 21:25:12,-20.2833,44.2833,74.25,81,41,11.41
100,Tura,IN,2021-09-21 21:25:12,25.5198,90.2201,73.27,82,100,2.06
101,Luderitz,NA,2021-09-21 21:25:13,-26.6481,15.1594,68.13,40,12,6.17
102,Cockburn Town,TC,2021-09-21 21:25:13,21.4612,-71.1419,85.96,66,40,12.66
103,Saskylakh,RU,2021-09-21 21:25:13,71.9167,114.0833,31.62,89,100,7.52
104,Pisco,PE,2021-09-21 21:20:59,-13.7,-76.2167,66.25,72,0,19.57
105,Vaini,TO,2021-09-21 21:25:14,-21.2,-175.2,75.36,78,75,9.22
106,Tilichiki,RU,2021-09-21 21:25:14,60.4667,166.1,45.28,90,100,8.03
107,Macau,MO,2021-09-21 21:24:02,22.2006,113.5461,84.07,84,20,4.61
108,Izumo,JP,2021-09-21 21:25:15,35.3667,132.7667,76.95,88,75,12.66
109,Lagoa,PT,2021-09-21 21:25:15,39.05,-27.9833,70.18,75,0,18.28
110,Batagay,RU,2021-09-21 21:25:15,67.6333,134.6333,33.66,75,100,2.8
111,Cherskiy,RU,2021-09-21 21:25:16,68.75,161.3,28.56,62,100,4.7
112,Bethel,US,2021-09-21 21:25:16,41.3712,-73.414,74.35,78,75,8.05
113,Vilyuysk,RU,2021-09-21 21:25:17,63.7553,121.6247,35.92,82,98,9.42
114,Vardo,NO,2021-09-21 21:25:17,70.3705,31.1107,41.2,73,28,26.04
115,Ribeira Grande,PT,2021-09-21 21:25:17,38.5167,-28.7,71.37,78,6,16.69
116,Tigil,RU,2021-09-21 21:25:18,57.8,158.6667,44.78,93,100,2.93
117,Flinders,AU,2021-09-21 21:25:18,-34.5833,150.8552,53.06,63,44,1.01
118,Umm Lajj,SA,2021-09-21 21:25:18,25.0213,37.2685,88.16,53,96,9.57
119,Kruisfontein,ZA,2021-09-21 21:25:19,-34.0033,24.7314,49.89,89,26,3.58
120,Port Alfred,ZA,2021-09-21 21:25:19,-33.5906,26.891,56.68,76,74,2.37
121,Korla,CN,2021-09-21 21:25:20,41.7597,86.1469,70.54,27,7,15.64
122,Bilibino,RU,2021-09-21 21:25:20,68.0546,166.4372,18.9,81,86,2.89
123,Castro,BR,2021-09-21 21:25:20,-24.7911,-50.0119,72.86,74,79,13.06
124,Mahebourg,MU,2021-09-21 21:25:21,-20.4081,57.7,70.09,68,40,11.5
125,Bambanglipuro,ID,2021-09-21 21:21:06,-7.95,110.2833,74.88,85,98,1.86
126,Evensk,RU,2021-09-21 21:25:21,61.95,159.2333,43.11,90,100,18.21
127,Bengkulu,ID,2021-09-21 21:25:22,-3.8004,102.2655,74.93,90,100,4.59
128,Klaksvik,FO,2021-09-21 21:25:22,62.2266,-6.589,52.72,87,100,31.29
129,Puerto Ayora,EC,2021-09-21 21:25:22,-0.7393,-90.3518,76.96,85,75,10.0
130,Djambala,CG,2021-09-21 21:25:23,-2.5447,14.7533,71.89,79,65,5.12
131,Punta Arenas,CL,2021-09-21 21:22:38,-53.15,-70.9167,49.62,78,100,9.69
132,Jamestown,US,2021-09-21 21:23:55,42.097,-79.2353,73.02,76,90,1.99
133,Pozo Colorado,PY,2021-09-21 21:25:23,-23.4923,-58.7972,71.51,62,98,15.12
134,Tuktoyaktuk,CA,2021-09-21 21:25:24,69.4541,-133.0374,37.4,65,90,14.97
135,Berwick,US,2021-09-21 21:25:24,41.0545,-76.2333,76.35,73,100,1.01
136,Marsh Harbour,BS,2021-09-21 21:25:25,26.5412,-77.0636,84.52,64,91,8.25
137,Katobu,ID,2021-09-21 21:25:25,-4.9408,122.5276,71.02,98,100,3.83
138,Ponca City,US,2021-09-21 21:25:25,36.707,-97.0856,79.11,28,1,1.99
139,Hambantota,LK,2021-09-21 21:25:26,6.1241,81.1185,79.05,84,55,14.92
140,Nome,US,2021-09-21 21:25:26,64.5011,-165.4064,35.67,56,75,8.05
141,Harbour Breton,CA,2021-09-21 21:25:27,47.4833,-55.7983,57.96,78,11,17.0
